Obra;Grupo Orçamentário;Cód. Estruturado;Cód. Item;Descrição Item;Unid.;Categoria; Qtde. Insumo ; Custo Insumo ; Total Orçado ;Tipo
OBR;Montagem de instalacoes provisorias - Impressora Multifuncional - Bivolt;01010100101OBR;9832;Impressora multifuncional bivolt;PC;Materiais de Escritório e Informática; 1,00 ; 538,03 ; 538,03 ;Geral
OBR;Montagem de instalacoes provisorias - Conjunto de cartuchos para impressora;01010100102OBR;8052;Cartucho compativel HP CARTRIDGE 667 preto;UN;Materiais de Escritório e Informática; 20,00 ; 74,79 ; 1.495,79 ;Geral
OBR;Montagem de instalacoes provisorias - Conjunto de cartuchos para impressora;01010100102OBR;8050;Cartucho compativel HP CARTRIDGE 667 colorido;UN;Materiais de Escritório e Informática; 10,00 ; 69,00 ; 690,00 ;Geral
OBR;Limpeza de terreno - Servico terceirizado;01020100201OBR;10011;Servico preliminar de limpeza do terreno por area;M2;Serviço de Limpeza do Terreno; 2.628,24 ; 8,17 ; 21.459,57 ;Geral
OBR;Maquinario de escavacao de solo em obra - Area do lote;01020200201OBR;10225;Escavadeira locacao diaria;DIA;Locação de Equipamentos Pesados; 15,62 ; 1.989,65 ; 31.077,72 ;Geral
OBR;Maquinario de escavacao de solo em obra - Area do lote;01020200201OBR;10243;Mini escavadeira de esteira locacao diaria;DIA;Locação de Equipamentos Pesados; 33,23 ; 1.168,85 ; 38.841,01 ;Geral
OBR;Maquinario de escavacao de solo em obra - Area do lote;01020200201OBR;10250;Retroescavadeira com pa carregadeira locacao diaria;DIA;Locação de Equipamentos Pesados; 10,26 ; 1.303,72 ; 13.376,12 ;Geral
OBR;"Tapume - telha trapezoidal verde hype com pilaretes em caibro 3""x3"" a cada um metro e transversais em ripa 1""x3"" - materiais";01020400102OBR;970;Barra de aco CA50 8 mm barra 12 m;BAR;Aço e Acessórios; 18,09 ; 38,17 ; 690,28 ;Geral
OBR;"Tapume - telha trapezoidal verde hype com pilaretes em caibro 3""x3"" a cada um metro e transversais em ripa 1""x3"" - materiais";01020400102OBR;975;Barra de aco CA60 5 mm barra 12 m;BAR;Aço e Acessórios; 18,09 ; 16,65 ; 301,15 ;Geral
OBR;"Tapume - telha trapezoidal verde hype com pilaretes em caibro 3""x3"" a cada um metro e transversais em ripa 1""x3"" - materiais";01020400102OBR;603;Concreto usinado Fck 20 MPa brita 1 slump 10+-2;M3;Concreto Usinado; 36,17 ; 345,00 ; 12.478,65 ;Geral
OBR;"Tapume - telha trapezoidal verde hype com pilaretes em caibro 3""x3"" a cada um metro e transversais em ripa 1""x3"" - materiais";01020400102OBR;2877;"Ripa de pinus 1"" x 3"" x 3,0 m";UN;Madeira; 96,45 ; 6,95 ; 669,90 ;Geral
OBR;"Tapume - telha trapezoidal verde hype com pilaretes em caibro 3""x3"" a cada um metro e transversais em ripa 1""x3"" - materiais";01020400102OBR;2884;"Caibro pinus 3"" x 3"" 3,0 m";UN;Madeira; 42,20 ; 21,23 ; 895,93 ;Geral
OBR;Tapume - Telha Trapezoidal / Madeirite - Insumos Portoes;01020400103OBR;8927;"Corrente zincada com elos curtos soldada 5/16"" (8 mm)";M;Ferramentas; 1,00 ; 53,13 ; 53,13 ;Geral
OBR;Tapume - Telha Trapezoidal / Madeirite - Insumos Portoes;01020400103OBR;8926;"Corrente zincada com elos curtos soldada 3/16"" (5 mm)";M;Ferramentas; 1,00 ; 21,32 ; 21,32 ;Geral
OBR;Tapume - Telha Trapezoidal / Madeirite - Insumos Portoes;01020400103OBR;8849;Cadeado com segredo 40 mm;UN;Ferramentas; 1,00 ; 36,10 ; 36,10 ;Geral
OBR;Tapume - Telha Trapezoidal / Madeirite - Insumos Portoes;01020400103OBR;8846;Cadeado com segredo 25 mm;UN;Ferramentas; 1,00 ; 28,59 ; 28,59 ;Geral
OBR;Tapume - Telha Trapezoidal / Madeirite - Insumos Portoes;01020400103OBR;9821;Tora de eucalipto 20 cm x 4 m;UN;Madeira; 2,00 ; 98,31 ; 196,62 ;Geral
OBR;Tapume - Telha Trapezoidal / Madeirite - Insumos Portoes;01020400103OBR;9820;Tora de eucalipto 20 cm x 5 m;UN;Madeira; 2,00 ; 195,05 ; 390,11 ;Geral
OBR;Conta de luz;01040200201OBR;10018;Conta de luz mensal - kWh;KWH;Energia elétrica; 13.438,68 ; 1,05 ; 14.068,22 ;Geral
OBR;Pacote de materiais para monitoramento;01040200405OBR;5114;Cabo de rede Lan UTP branco;M;Elétrica - Fios e Cabos; 1,00 ; 534,94 ; 534,94 ;Geral
OBR;Pacote de materiais para monitoramento;01040200405OBR;5121;Cabo telefonia CCI 2 pares;M;Elétrica - Fios e Cabos; 50,00 ; 2,68 ; 133,93 ;Geral
OBR;Pacote de materiais para monitoramento;01040200405OBR;8100;Receptora SRX 202 2 reles;UN;Materiais de Escritório e Informática; 1,00 ; 117,69 ; 117,69 ;Geral
OBR;Pacote de materiais para monitoramento;01040200405OBR;8103;Grade gaiola para protecao de camera de seguranca;UN;Materiais de Escritório e Informática; 2,00 ; 69,54 ; 139,08 ;Geral
OBR;Pacote de materiais para monitoramento;01040200405OBR;8111;Camera de seguranca Bullet VHD 1120 B G5;UN;Materiais de Escritório e Informática; 3,00 ; 175,94 ; 527,81 ;Geral
OBR;Pacote de materiais para monitoramento;01040200405OBR;8107;Conversor Ballun VB 501 P;UN;Materiais de Escritório e Informática; 5,00 ; 38,63 ; 193,17 ;Geral
OBR;Pacote de materiais para monitoramento;01040200405OBR;8099;Teclado 16S LED;UN;Materiais de Escritório e Informática; 1,00 ; 142,65 ; 142,65 ;Geral
