Obra;Cód. Estruturado;Cód. Item;Descrição Item;Unid.;Categoria;Nº NF;Data NF; ValorUnitRealizado ; Qtd Realizada ; ValorTotalRealizado ;Cód. Fornecedor;Fornecedor;Tipo;Cód. Pedido;Cód. Contrato
OBR;01010100102OBR;8052;Cartucho compativel HP CARTRIDGE 667 preto;UN;Materiais de Escritório e Informática;60634OBR.N;18/03/2025; 87,40 ; 13,33 ; 1.165,30 ;Código 01;Fornecedor 01;Geral;373OBR.P;-
OBR;01010100102OBR;8050;Cartucho compativel HP CARTRIDGE 667 colorido;UN;Materiais de Escritório e Informática;60634OBR.N;18/03/2025; 87,40 ; 10,00 ; 874,00 ;Código 01;Fornecedor 01;Geral;373OBR.P;-
OBR;01010100102OBR;8052;Cartucho compativel HP CARTRIDGE 667 preto;UN;Materiais de Escritório e Informática;60634OBR.N;18/03/2025; 92,00 ; 6,67 ; 613,36 ;Código 01;Fornecedor 01;Geral;373OBR.P;-
OBR;01010100102OBR;8050;Cartucho compativel HP CARTRIDGE 667 colorido;UN;Materiais de Escritório e Informática;60634OBR.N;18/03/2025; 92,00 ; 5,00 ; 460,00 ;Código 01;Fornecedor 01;Geral;373OBR.P;-
OBR;01010100102OBR;8052;Cartucho compativel HP CARTRIDGE 667 preto;UN;Materiais de Escritório e Informática;57638OBR.N;21/10/2024; 87,40 ; 5,00 ; 437,00 ;Código 01;Fornecedor 01;Geral;244OBR.P;-
OBR;01010100102OBR;8050;Cartucho compativel HP CARTRIDGE 667 colorido;UN;Materiais de Escritório e Informática;57638OBR.N;21/10/2024; 87,40 ; 5,00 ; 437,00 ;Código 01;Fornecedor 01;Geral;244OBR.P;-
OBR;0102010402OBRP;10841;Misturador monocomando lavatorio bica baixa lift 5L/min - Docol;UN;Louças, Metais e Acessórios;177512OBR.N;11/04/2025; 423,42 ; 11,14 ; 4.717,24 ;Código 11;Fornecedor 11;Personalização;342OBR.P;-
OBR;0102010402OBRP;3681;Cuba de apoio com mesa - Q6 Loft - Incepa;UN;Louças, Metais e Acessórios;1168974OBR.N;28/03/2025; 296,06 ; 10,80 ; 3.197,46 ;Código 12;Fornecedor 12;Personalização;343OBR.P;-
OBR;0102010402OBRP;10841;Misturador monocomando lavatorio bica baixa lift 5L/min - Docol;UN;Louças, Metais e Acessórios;154014OBR.N;28/03/2025; 423,37 ; 0,65 ; 276,12 ;Código 11;Fornecedor 11;Personalização;342OBR.P;-
OBR;0102010403OBRP;3680;Cuba de apoio redonda - R0 Loft - Incepa;UN;Louças, Metais e Acessórios;760046OBR.N;25/04/2025; 141,77 ; 3,00 ; 425,32 ;Código 12;Fornecedor 12;Personalização;343OBR.P;-
OBR;0102010403OBRP;10841;Misturador monocomando lavatorio bica baixa lift 5L/min - Docol;UN;Louças, Metais e Acessórios;177512OBR.N;11/04/2025; 423,42 ; 2,79 ; 1.179,30 ;Código 11;Fornecedor 11;Personalização;342OBR.P;-
OBR;0102010403OBRP;10841;Misturador monocomando lavatorio bica baixa lift 5L/min - Docol;UN;Louças, Metais e Acessórios;154014OBR.N;28/03/2025; 423,37 ; 0,16 ; 69,05 ;Código 11;Fornecedor 11;Personalização;342OBR.P;-
OBR;0102010409OBRP;3762;Acabamento de registro Lift - Docol;UN;Louças, Metais e Acessórios;141947OBR.N;13/03/2025; 104,91 ; 22,00 ; 2.308,12 ;Código 11;Fornecedor 11;Personalização;342OBR.P;-
OBR;0102010409OBRP;3790;Conversor de registro para base Docol;UN;Louças, Metais e Acessórios;193OBR.N;21/02/2025; 28,73 ; 22,00 ; 631,97 ;Código 13;Fornecedor 13;Personalização;344OBR.P;-
OBR;0102010411OBRP;10841;Misturador monocomando lavatorio bica baixa lift 5L/min - Docol;UN;Louças, Metais e Acessórios;177512OBR.N;11/04/2025; 423,42 ; 1,86 ; 786,20 ;Código 11;Fornecedor 11;Personalização;342OBR.P;-
OBR;0102010411OBRP;3678;Cuba de apoio retangular  - QR3 Loft - Incepa;UN;Louças, Metais e Acessórios;1168974OBR.N;28/03/2025; 471,66 ; 2,00 ; 943,32 ;Código 12;Fornecedor 12;Personalização;343OBR.P;-
OBR;0102010411OBRP;10841;Misturador monocomando lavatorio bica baixa lift 5L/min - Docol;UN;Louças, Metais e Acessórios;154014OBR.N;28/03/2025; 423,37 ; 0,11 ; 46,02 ;Código 11;Fornecedor 11;Personalização;342OBR.P;-
